path	line	matched_text	classification	reason	recommended_action
docs/agile/sprint9-style-management-system-v0.md	84	sprint-backlog.md	B	历史 Sprint 专项文档	保留
docs/agile/product-backlog.md	101	release-plan.md	C	其他历史引用	保留
docs/agile/product-backlog.md	128	release-plan.md	C	其他历史引用	保留
docs/agile/product-backlog.md	157	sprint-backlog.md	C	其他历史引用	保留
docs/agile/product-backlog.md	217	sprint-backlog.md	C	其他历史引用	保留
docs/agile/sprint12-product-governance-r2-planning.md	56	sprint-backlog.md	B	Sprint 12 专项文档历史引用	保留
docs/agile/sprint12-product-governance-r2-planning.md	107	全局索引	D	Sprint 12 Plan	无需修改
docs/product/user-story-map.md	122	release-plan.md	D	user-story-map 相关文档链接已标注索引/历史/独立目录	无需修改
docs/product/user-story-map.md	124	sprint-plan.md	D	user-story-map 相关文档链接已标注索引/历史/独立目录	无需修改
docs/product/user-story-map.md	125	sprint-backlog.md	D	user-story-map 相关文档链接已标注索引/历史/独立目录	无需修改
docs/product/user-story-map.md	127	独立目录	D	user-story-map 相关文档链接已标注索引/历史/独立目录	无需修改
README.md	84	sprint-backlog.md	D	README 已对齐全局索引与 sprints/releases 目录说明	无需修改
docs/agile/git-workflow.md	28	每个 Sprint	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	71	每个 Release	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	83	每个 Sprint	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	114	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	133	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	261	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	262	独立目录	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	263	全局索引	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	264	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	276	全局索引	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	280	release-plan.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	281	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/git-workflow.md	282	sprint-plan.md	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	14	sprints/sprint-	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	15	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	17	全局索引	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	21	每个 Release	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	22	每个 Sprint	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	30	必须更新	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	31	releases/release-	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	32	release-plan.md	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	38	sprints/sprint-	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	39	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	105	release-plan.md	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	106	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-rules.mdc	107	sprint-plan.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/sprint11-production-ops-go-live.md	49	sprint-backlog.md	B	历史 Sprint 专项文档	保留
.cursor/rules/agile-governance.mdc	152	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/agile-governance.mdc	153	release-plan.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/decisions.md	103	sprint-backlog.md	D	DECISION-114	无需修改
docs/agile/decisions.md	121	每个 Sprint	C	历史 Decision	保留
docs/agile/decisions.md	151	sprint-plan.md	C	历史 Decision	保留
docs/agile/decisions.md	171	sprint-plan.md	C	历史 Decision	保留
docs/agile/decisions.md	173	sprint-plan.md	C	历史 Decision	保留
docs/agile/decisions.md	227	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	251	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	413	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	453	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	470	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	510	每个 Sprint	C	历史 Decision	保留
docs/agile/decisions.md	511	release-plan.md	C	历史 Decision	保留
docs/agile/decisions.md	513	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	525	Sprint Backlog	C	历史 Decision	保留
docs/agile/decisions.md	534	Sprint Backlog	C	历史 Decision	保留
docs/agile/decisions.md	536	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	643	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	665	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	787	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	793	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	812	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	862	sprint-backlog.md	C	历史 Decision	保留
